L_ADD_F,L_ADD_T,R_ADD_F,R_ADD_T,ROAD_NAME,ROAD_SUF,FULL_NAME,DIR,ALIAS,LANES,SURFACE_CO,YEAR_INSTA,OWNER,LIFECYCLES,SUBTYPE
2200,2398,2201,2399,OLD ORCHARD,DR,OLD ORCHARD DR,,,2,CON,2000-01-01,CI,COMP,7
9601,9749,9600,9750,NORTH COUNTY,RD,NORTH COUNTY RD,,,2,CON,2001-01-01,CI,COMP,6
9383,9461,9400,9452,SANTA FE,TRL,SANTA FE TRL,,,2,CON,2000-01-01,CI,COMP,7
9501,9599,9500,9598,NORTH COUNTY,RD,NORTH COUNTY RD,,,2,CON,2001-01-01,CI,COMP,6
2000,2098,2001,2099,WESTWOOD,CT,WESTWOOD CT,,,2,CON,2000-01-01,CI,COMP,7
1900,1968,1901,1969,WINCHESTER,DR,WINCHESTER DR,,,2,CON,2000-01-01,CI,COMP,7
9201,9429,9202,9472,WINDMILL POINTE,DR,WINDMILL POINTE DR,,,2,CON,2000-01-01,CI,COMP,7
1984,2074,1985,2075,WINCHESTER,DR,WINCHESTER DR,,,2,CON,2000-01-01,CI,COMP,7
9401,9499,9400,9498,NORTH COUNTY,RD,NORTH COUNTY RD,,,2,CON,2004-01-01,CI,COMP,6
2100,2198,2101,2199,WINCHESTER,DR,WINCHESTER DR,,,2,CON,2000-01-01,CI,COMP,7
6852,6898,6853,6899,MAPLE,ST,MAPLE ST,,,2,HMAC,1995-01-01,CI,COMP,7
8660,8684,8661,8685,CALIFORNIA,DR,CALIFORNIA DR,,,2,HMAC,2000-01-01,CI,COMP,7
8710,8734,8711,8735,CALIFORNIA,DR,CALIFORNIA DR,,,2,HMAC,2000-01-01,CI,COMP,7
9301,9399,9300,9398,NORTH COUNTY,RD,NORTH COUNTY RD,,,2,CON,2004-01-01,CI,COMP,6
9290,9298,9291,9299,NORTH COUNTY,RD,NORTH COUNTY RD,,,2,CON,2004-01-01,CI,COMP,6
9259,9311,9258,9310,BURBANK,DR,BURBANK DR,,,2,HMAC,1980-01-01,CI,COMP,7
8700,8758,8701,8759,MCKINNEY,RD,MCKINNEY RD,,,2,CON,2004-01-01,CI,COMP,6
9259,9311,9258,9310,GLENDALE,DR,GLENDALE DR,,,2,HMAC,1980-01-01,CI,COMP,7
8760,8774,8761,8773,MCKINNEY,RD,MCKINNEY RD,,,2,CON,2004-01-01,CI,COMP,6
9259,9311,9258,9310,OAKLAND,DR,OAKLAND DR,,,2,HMAC,1980-01-01,CI,COMP,7
8776,8798,8775,8799,MCKINNEY,RD,MCKINNEY RD,,,2,CON,2004-01-01,CI,COMP,6
8500,8698,8501,8699,MCKINNEY,RD,MCKINNEY RD,,,2,CON,2004-01-01,CI,COMP,6
8800,8998,8801,8999,MCKINNEY,RD,MCKINNEY RD,,,2,CON,2004-01-01,CI,COMP,6
7901,7999,7900,7998,MCKINNEY,RD,MCKINNEY RD,,,2,CON,2004-01-01,CI,COMP,6
9101,9281,9100,9198,4TH,ST,4TH ST,,FOURTH ST,2,CON,2003-01-01,CI,COMP,7
9101,9199,9100,9198,6TH,ST,6TH ST,,SIXTH ST,2,CON,2004-01-01,CI,COMP,7
9001,9099,9000,9098,4TH,ST,4TH ST,,FOURTH ST,2,CON,2003-01-01,CI,COMP,7
2100,2198,2101,2199,COPPERFIELD,CT,COPPERFIELD CT,,,2,CON,2000-01-01,CI,COMP,7
8805,8865,8804,8864,BROKEN BEND,LN,BROKEN BEND LN,,,2,CON,2000-01-01,CI,COMP,7
1800,1980,1801,1981,DARNELL,CIR,DARNELL CIR,,,2,CON,2000-01-01,CI,COMP,7
8901,8999,8900,8998,4TH,ST,4TH ST,,FOURTH ST,2,CON,2003-01-01,CI,COMP,7
6400,6498,6401,6499,ELM,ST,ELM ST,,,2,HMAC,1971-01-01,CI,COMP,7
8943,8999,8944,8998,TAFT POWELL,RD,TAFT POWELL RD,,,2,HMAC,1900-01-01,CI,COMP,7
8851,8899,8850,8898,4TH,ST,4TH ST,,FOURTH ST,2,HMAC,2003-01-01,CI,COMP,7
8801,8849,8800,8848,2ND,ST,2ND ST,,SECOND ST,2,HMAC,2003-01-01,CI,COMP,7
8753,8799,8752,8798,2ND,ST,2ND ST,,SECOND ST,2,HMAC,2003-01-01,CI,COMP,7
8801,8849,8800,8848,4TH,ST,4TH ST,,FOURTH ST,2,HMAC,2003-01-01,CI,COMP,7
8801,8849,8800,8848,5TH,ST,5TH ST,,FIFTH ST,2,CON,2014-01-01,CI,COMP,6
6900,6998,6901,6999,ELM,ST,ELM ST,,,2,HMAC,1980-01-01,CI,COMP,7
8501,8699,0,0,FM 423,,FM 423,,,3,CON,2012-01-01,TX,COMP,4
8701,8799,8700,8798,4TH,ST,4TH ST,,FOURTH ST,2,HMAC,2003-01-01,CI,COMP,7
8701,8799,8700,8798,5TH,ST,5TH ST,,FIFTH ST,2,CON,2014-01-01,CI,COMP,6
6900,6998,6901,6999,PECAN,ST,PECAN ST,,,2,HMAC,1971-01-01,CI,COMP,7
7000,7098,7001,7099,PECAN,ST,PECAN ST,,,2,CON,2005-01-01,CI,COMP,7
8301,8369,8300,8370,KINGS RIDGE,RD,KINGS RIDGE RD,,,2,CON,1999-01-01,CI,COMP,6
11200,11208,11201,11209,PROMENADE,RD,PROMENADE RD,,,2,CON,1995-01-01,CI,COMP,7
8261,8281,8240,8280,KINGS RIDGE,RD,KINGS RIDGE RD,,,2,CON,1990-01-01,CI,COMP,6
0,0,0,0,THAMES,DR,THAMES DR,,,2,CON,1997-01-01,CI,COMP,7
8201,8281,8200,8280,TOWER,RD,TOWER RD,,,2,CON,1995-01-01,CI,COMP,7
10350,10400,10361,10401,HAMPTON,CT,HAMPTON CT,,,2,CON,1995-01-01,CI,COMP,7
8201,8221,8200,8220,WALES,DR,WALES DR,,,2,CON,1997-01-01,CI,COMP,7
8121,8221,8100,8230,KINGS RIDGE,RD,KINGS RIDGE RD,,,2,CON,1990-01-01,CI,COMP,6
0,0,10101,10151,CAMBRIDGE,DR,CAMBRIDGE DR,,,2,CON,1997-01-01,CI,COMP,7
8121,8181,8120,8180,WALES,DR,WALES DR,,,2,CON,1997-01-01,CI,COMP,7
11504,11508,11505,11509,CANOE,RD,CANOE RD,,,2,CON,1995-01-01,CI,COMP,6
11714,11718,11715,11719,CANOE,RD,CANOE RD,,,2,CON,1996-01-01,CI,COMP,6
11804,11808,11803,11807,CANOE,RD,CANOE RD,,,2,CON,1996-01-01,CI,COMP,6
10750,10822,10751,10823,QUEST,DR,QUEST DR,,,2,CON,1991-01-01,CI,COMP,7
10664,10736,10665,10737,QUEST,DR,QUEST DR,,,2,CON,1991-01-01,CI,COMP,7
10578,10650,10579,10651,QUEST,DR,QUEST DR,,,2,CON,1991-01-01,CI,COMP,7
10478,10550,10479,10551,QUEST,DR,QUEST DR,,,2,CON,1991-01-01,CI,COMP,7
10308,10378,10309,10379,QUEST,DR,QUEST DR,,,2,CON,1991-01-01,CI,COMP,7
10400,10464,10401,10465,QUEST,DR,QUEST DR,,,2,CON,1991-01-01,CI,COMP,7
8001,8009,8000,8008,ANCHOR,ST,ANCHOR ST,,,2,CON,1995-01-01,CI,COMP,7
8415,8495,8434,8494,CREEKSIDE,CIR,CREEKSIDE CIR,,,2,CON,1984-01-01,CI,COMP,7
7881,7901,7864,7880,LANCELOT,RD,LANCELOT RD,,,2,CON,1994-01-01,CI,COMP,7
10000,10098,10001,10099,CASTLE,DR,CASTLE DR,,,2,CON,1994-01-01,CI,COMP,7
11700,11708,11701,11713,HARBOR,RD,HARBOR RD,,,2,CON,1997-01-01,CI,COMP,7
11602,11618,11601,11619,HARBOR,RD,HARBOR RD,,,2,CON,1997-01-01,CI,COMP,7
10100,10198,10101,10199,CASTLE,DR,CASTLE DR,,,2,CON,1991-01-01,CI,COMP,7
10540,10610,10541,10621,CASTLE,DR,CASTLE DR,,,2,CON,1991-01-01,CI,COMP,7
10650,10700,10641,10701,CASTLE,DR,CASTLE DR,,,2,CON,1991-01-01,CI,COMP,7
10470,10510,10441,10511,CASTLE,DR,CASTLE DR,,,2,CON,1991-01-01,CI,COMP,7
10370,10410,10361,10421,CASTLE,DR,CASTLE DR,,,2,CON,1991-01-01,CI,COMP,7
7809,7813,7808,7812,RIMROCK,CIR,RIMROCK CIR,,,2,CON,1998-01-01,CI,COMP,7
8201,8241,8200,8240,WOODSTREAM,DR,WOODSTREAM DR,,,2,CON,1985-01-01,CI,COMP,6
7701,7759,7700,7758,CREEKMERE,DR,CREEKMERE DR,,,2,CON,1996-01-01,CI,COMP,7
7601,7613,7600,7612,SCARBOROUGH,LN,SCARBOROUGH LN,,,2,CON,1996-01-01,CI,COMP,7
7595,7687,7594,7686,CREEKMERE,DR,CREEKMERE DR,,,2,CON,2002-01-01,CI,COMP,7
7601,7799,0,0,LEGACY,DR,LEGACY DR,,,2,CON,1987-01-01,CI,COMP,4
7501,7801,7500,7798,TOURNAMENT,RD,TOURNAMENT RD,,,2,CON,1991-01-01,CI,COMP,7
7011,7117,7006,7204,FIELDSTONE,DR,FIELDSTONE DR,,,2,CON,1995-01-01,CI,COMP,7
8616,8712,8617,8713,STONEVIEW,DR,STONEVIEW DR,,,2,CON,1995-01-01,CI,COMP,7
7011,7117,7012,7116,BOULDER,WAY,BOULDER WAY,,,2,CON,1995-01-01,CI,COMP,7
7001,7005,7000,7004,STONERIDGE,DR,STONERIDGE DR,,,2,CON,1995-01-01,CI,COMP,7
6783,6863,6782,6862,RICHMOND,DR,RICHMOND DR,,,2,CON,2000-01-01,CI,COMP,7
6707,6715,6706,6716,FAIRLAWN,DR,FAIRLAWN DR,,,2,CON,2000-01-01,CI,COMP,7
10000,10004,9921,9925,BORDEAUX,AVE,BORDEAUX AVE,,,2,CON,1988-01-01,CI,COMP,7
12316,12320,12311,12317,ROSEDOWN,LN,ROSEDOWN LN,,,2,CON,1998-01-01,CI,COMP,7
6711,6715,6710,6716,APRICOT,LN,APRICOT LN,,,2,CON,1998-01-01,CI,COMP,7
12300,12310,12301,12309,ROSEDOWN,LN,ROSEDOWN LN,,,2,CON,1998-01-01,CI,COMP,7
6681,6767,6680,6766,RICHMOND,DR,RICHMOND DR,,,2,CON,2000-01-01,CI,COMP,7
11200,11280,11201,11281,BLANCHARD,DR,BLANCHARD DR,,,2,CON,1999-01-01,CI,COMP,7
10008,10024,10009,10025,BORDEAUX,AVE,BORDEAUX AVE,,,2,CON,1988-01-01,CI,COMP,7
6663,6699,6662,6698,FAIRLAWN,DR,FAIRLAWN DR,,,2,CON,2000-01-01,CI,COMP,7
11032,11050,11031,11049,MILLVALE,CT,MILLVALE CT,,,2,CON,1999-01-01,CI,COMP,7
6601,6699,6600,6698,PEPPERIDGE,LN,PEPPERIDGE LN,,,2,CON,1999-01-01,CI,COMP,7
12302,12318,12401,12405,MELROSE,LN,MELROSE LN,,,2,CON,1999-01-01,CI,COMP,7
6601,6675,6598,6598,WINSTON,DR,WINSTON DR,,,2,CON,2000-01-01,CI,COMP,7
12204,12216,12205,12217,MELROSE,LN,MELROSE LN,,,2,CON,1999-01-01,CI,COMP,7
12106,12114,12107,12115,MELROSE,LN,MELROSE LN,,,2,CON,1999-01-01,CI,COMP,7
12004,12102,12005,12103,MELROSE,LN,MELROSE LN,,,2,CON,1997-01-01,CI,COMP,7
11906,12000,11907,12001,MELROSE,LN,MELROSE LN,,,2,CON,1997-01-01,CI,COMP,7
6507,6605,6506,6604,WHITE OAKS,LN,WHITE OAKS LN,,,2,CON,1998-01-01,CI,COMP,7
6501,6581,6500,6580,PLANTATION,LN,PLANTATION LN,,,2,CON,1999-01-01,CI,COMP,6
0,0,11223,11223,LOCKSHIRE,DR,LOCKSHIRE DR,,,2,CON,1999-01-01,CI,COMP,7
11044,11050,11045,11051,LOCKSHIRE,DR,LOCKSHIRE DR,,,2,CON,1999-01-01,CI,COMP,7
6549,6549,6500,6590,BOLLIGER,CT,BOLLIGER CT,,,2,CON,1999-01-01,CI,COMP,7
11070,11082,11057,11101,LOCKSHIRE,DR,LOCKSHIRE DR,,,2,CON,1999-01-01,CI,COMP,7
11160,11180,11121,11203,LOCKSHIRE,DR,LOCKSHIRE DR,,,2,CON,1999-01-01,CI,COMP,7
6501,6599,6500,6598,KIRBY,LN,KIRBY LN,,,2,CON,1995-01-01,CI,COMP,7
6445,6487,6444,6486,PLANTATION,LN,PLANTATION LN,,,2,CON,1999-01-01,CI,COMP,6
6431,6473,6430,6472,RIVERSIDE,DR,RIVERSIDE DR,,,2,CON,1999-01-01,CI,COMP,7
11340,11430,11379,11441,LARKWOOD,CIR,LARKWOOD CIR,,,2,CON,1999-01-01,CI,COMP,7
0,0,11301,11399,COLLEGE,PKWY,COLLEGE PKWY,,CR 20,2,CON,1996-01-01,CI,COMP,5
0,0,11101,11299,COLLEGE,PKWY,COLLEGE PKWY,,CR 20,2,CON,1996-01-01,CI,COMP,5
0,0,12101,12251,COLLEGE,PKWY,COLLEGE PKWY,,CR 20,2,CON,1996-01-01,CI,COMP,5
6201,6299,6200,6298,VICTORIA,CT,VICTORIA CT,,,2,CON,1996-01-01,CI,COMP,7
6201,6217,6200,6216,CHARLESTON,DR,CHARLESTON DR,,,2,CON,1994-01-01,CI,COMP,6
6201,6301,6200,6300,DECATUR,CT,DECATUR CT,,,2,CON,1994-01-01,CI,COMP,7
10900,10916,10901,10917,COLUMBIA,DR,COLUMBIA DR,,,2,CON,1994-01-01,CI,COMP,7
12300,12320,12301,12321,BILOXI,DR,BILOXI DR,,,2,CON,1996-01-01,CI,COMP,7
6115,6213,6114,6212,ARLINGTON,DR,ARLINGTON DR,,,2,CON,1996-01-01,CI,COMP,7
12402,12418,12403,12419,BILOXI,DR,BILOXI DR,,,2,CON,1996-01-01,CI,COMP,7
1,2,6,3,GREENS,CT,GREENS CT,,GREEN'S CT,2,CON,1999-01-01,PR,COMP,7
6143,6199,6144,6198,PINTAIL,LN,PINTAIL LN,,,2,CON,1999-01-01,PR,COMP,7
6101,6113,6100,6112,SUMTER,CT,SUMTER CT,,,2,CON,1996-01-01,CI,COMP,7
0,0,12405,12501,ALEXANDRIA,DR,ALEXANDRIA DR,,,2,CON,1996-01-01,CI,COMP,7
12304,12402,12305,12401,ALEXANDRIA,DR,ALEXANDRIA DR,,,2,CON,1996-01-01,CI,COMP,7
6001,6051,6000,6080,PINTAIL,LN,PINTAIL LN,,,2,CON,1999-01-01,PR,COMP,7
8372,8456,0,0,PRESTON NORTH,DR,PRESTON NORTH DR,,,2,HMAC,1990-01-01,CI,COMP,7
8272,8324,0,0,PRESTON NORTH,DR,PRESTON NORTH DR,,,2,HMAC,1990-01-01,CI,COMP,7
5901,5999,5900,5998,PINTAIL,LN,PINTAIL LN,,,2,CON,1999-01-01,PR,COMP,7
6001,6089,6002,6086,DRIPPING SPRINGS,DR,DRIPPING SPRINGS DR,,,2,CON,2000-01-01,PR,COMP,7
8120,8184,8121,8185,SUNNYVALE,CIR,SUNNYVALE CIR,,,2,HMAC,1990-01-01,CI,COMP,7
6342,6384,6343,6385,HALEY,WAY,HALEY WAY,,,2,CON,1999-01-01,PR,COMP,7
8120,8184,8121,8185,GARDEN,CIR,GARDEN CIR,,,2,HMAC,1990-01-01,CI,COMP,7
5701,5721,5700,5720,BATON ROUGE,BLVD,BATON ROUGE BLVD,,,2,CON,1992-01-01,CI,COMP,7
5481,5499,5480,5498,MALLARD,TRCE,MALLARD TRCE,,,2,CON,1998-01-01,PR,COMP,7
1,2,6,3,MALLARD,CT,MALLARD CT,,,2,CON,1998-01-01,PR,COMP,7
8120,8184,8121,8185,ARBOR,CIR,ARBOR CIR,,,2,HMAC,1990-01-01,CI,COMP,7
5401,5479,5400,5478,MALLARD,TRCE,MALLARD TRCE,,,2,CON,1998-01-01,PR,COMP,7
5601,5613,5600,5612,ROANOKE,DR,ROANOKE DR,,,2,CON,1996-01-01,CI,COMP,7
8120,8184,8121,8185,SHADE TREE,CIR,SHADE TREE CIR,,,2,HMAC,1990-01-01,CI,COMP,7
5527,5551,5548,5548,WIDGEON,WAY,WIDGEON WAY,,,2,CON,1997-01-01,PR,COMP,7
0,0,0,0,OLD LEBANON,RD,OLD LEBANON RD,,,2,HMAC,1990-01-01,CI,COMP,7
5501,5501,5500,5500,WIDGEON,WAY,WIDGEON WAY,,,2,CON,1997-01-01,PR,COMP,7
6500,6598,6501,6599,EAGLE,PASS,EAGLE PASS,,,2,CON,1997-01-01,PR,COMP,7
0,0,0,0,OLD LEBANON,RD,OLD LEBANON RD,,,2,HMAC,1990-01-01,CI,COMP,7
5403,5487,5400,5488,WIDGEON,WAY,WIDGEON WAY,,,2,CON,1997-01-01,PR,COMP,7
5397,5397,5300,5338,SPICEWOOD,LN,SPICEWOOD LN,,,2,CON,1997-01-01,PR,COMP,7
0,0,0,0,STARWOOD,DR,STARWOOD DR,,,2,CON,1997-01-01,PR,COMP,6
5201,5215,5200,5216,LAKELAND,DR,LAKELAND DR,,,2,CON,1995-01-01,CI,COMP,7
5101,5117,5100,5116,LAKELAND,DR,LAKELAND DR,,,2,CON,1997-01-01,CI,COMP,7
5101,5113,5100,5112,MOSSCREEK,LN,MOSSCREEK LN,,,2,CON,1997-01-01,CI,COMP,7
5101,5189,5100,5190,LAKE CREEK,CT,LAKE CREEK CT,,,2,CON,2000-01-01,CI,COMP,7
5003,5015,5002,5014,MOSSCREEK,LN,MOSSCREEK LN,,,2,CON,1998-01-01,CI,COMP,7
5003,5015,5002,5014,LAKELAND,DR,LAKELAND DR,,,2,CON,1998-01-01,CI,COMP,7
12104,12116,12105,12117,LAKEBLUFF,WAY,LAKEBLUFF WAY,,,2,CON,1998-01-01,CI,COMP,7
0,0,0,0,STARWOOD,DR,STARWOOD DR,,,2,CON,1997-01-01,PR,COMP,6
4903,4913,4904,4912,MOSSCREEK,LN,MOSSCREEK LN,,,2,CON,1998-01-01,CI,COMP,7
11800,11868,11801,11869,CREEK POINT,DR,CREEK POINT DR,,,2,CON,2000-01-01,CI,COMP,7
4801,4899,4800,4898,MOSSCREEK,LN,MOSSCREEK LN,,,2,CON,1998-01-01,CI,COMP,7
4903,4911,4904,4916,LAKELAND,DR,LAKELAND DR,,,2,CON,1998-01-01,CI,COMP,7
4703,4783,4704,4782,WHITE BLUFF,DR,WHITE BLUFF DR,,,2,CON,1997-01-01,PR,COMP,7
6447,6473,6448,6472,SUNDOWN,TRL,SUNDOWN TRL,,,2,CON,1997-01-01,PR,COMP,7
6000,6016,6001,6017,HACKBERRY,CT,HACKBERRY CT,,,2,CON,1997-01-01,PR,COMP,7
4601,4671,4600,4670,POST OAK,DR,POST OAK DR,,,2,CON,1997-01-01,PR,COMP,7
4601,4625,4600,4624,DRIFTWOOD,DR,DRIFTWOOD DR,,,2,CON,1997-01-01,PR,COMP,7
6102,6170,6103,6171,ORCHARD PARK,DR,ORCHARD PARK DR,,,2,CON,1997-01-01,PR,COMP,7
4533,4595,4522,4582,HAVERFORD,DR,HAVERFORD DR,,,2,CON,2000-01-01,CI,COMP,7
11201,11249,11200,11248,NANTUCKET,CT,NANTUCKET CT,,,2,CON,2000-01-01,CI,COMP,7
10700,10720,10701,10721,SPRING LAKE,RD,SPRING LAKE RD,,,2,CON,1998-01-01,CI,COMP,7
4401,4499,4400,4498,WHITEFISH LAKE,DR,WHITEFISH LAKE DR,,,2,CON,2000-01-01,CI,COMP,6
4401,4413,4400,4412,RIPPLEWOOD,RD,RIPPLEWOOD RD,,,2,CON,1999-01-01,CI,COMP,7
4401,4499,4400,4498,PLANTATION,LN,PLANTATION LN,,,2,CON,2000-01-01,CI,COMP,6
11201,11249,11200,11248,TAVERN CREEK,CT,TAVERN CREEK CT,,,2,CON,2000-01-01,CI,COMP,7
11402,11496,11403,11497,TAPPATIO SPRINGS,LN,TAPPATIO SPRINGS LN,,,2,CON,1999-01-01,CI,COMP,7
4301,4311,4300,4310,TRAILRIDGE,DR,TRAILRIDGE DR,,,2,CON,1999-01-01,CI,COMP,7
4201,4399,4200,4398,PLANTATION,LN,PLANTATION LN,,,2,CON,2000-01-01,CI,COMP,6
11225,11249,11200,11248,DIAMOND OAKS,CT,DIAMOND OAKS CT,,,2,CON,2000-01-01,CI,COMP,7
9922,9998,9923,9999,SEAN,DR,SEAN DR,,,2,CON,1997-01-01,CI,COMP,7
4201,4213,4200,4214,TRAILRIDGE,DR,TRAILRIDGE DR,,,2,CON,1999-01-01,CI,COMP,7
10002,10014,10003,10015,SEAN,DR,SEAN DR,,,2,CON,1996-01-01,CI,COMP,7
9700,9704,9701,9705,PRESTHOPE,DR,PRESTHOPE DR,,,2,CON,1995-01-01,CI,COMP,7
4101,4113,4100,4112,KATY,CT,KATY CT,,,2,CON,1996-01-01,CI,COMP,7
11000,11016,11001,11017,WATER,RD,WATER RD,,,2,CON,1999-01-01,CI,COMP,7
10904,10912,10905,10913,WATER,RD,WATER RD,,,2,CON,1999-01-01,CI,COMP,7
11400,11468,11401,11469,IRONHORSE,DR,IRONHORSE DR,,,2,CON,1999-01-01,CI,COMP,7
4001,4099,4000,4098,CALDWELL,CT,CALDWELL CT,,,2,CON,1995-01-01,CI,COMP,7
4001,4099,4000,4098,STREAM BEND,DR,STREAM BEND DR,,,2,CON,1999-01-01,CI,COMP,7
4003,4015,4002,4014,WINDING,WAY,WINDING WAY,,,2,CON,1999-01-01,CI,COMP,7
11000,11016,11001,11017,STREAM BEND,DR,STREAM BEND DR,,,2,CON,1999-01-01,CI,COMP,7
3907,3917,3908,3916,FAIRFIELD,PL,FAIRFIELD PL,,,2,CON,1998-01-01,CI,COMP,7
3901,3999,3900,3998,CALDWELL,CT,CALDWELL CT,,,2,CON,1995-01-01,CI,COMP,7
9602,9614,9605,9617,PRESTMONT,PL,PRESTMONT PL,,,2,CON,1995-01-01,CI,COMP,7
